"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 04:38:10 UTC 2024","Wed Feb 21 04:38:14 UTC 2024","4143","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Feb 21 04:03:51 UTC 2024","Wed Feb 21 04:03:53 UTC 2024","2003","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Feb 21 02:55:06 UTC 2024","Wed Feb 21 02:55:26 UTC 2024","20112","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Feb 21 03:57:01 UTC 2024","Wed Feb 21 03:57:13 UTC 2024","11934","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Feb 21 03:33:36 UTC 2024","Wed Feb 21 03:33:39 UTC 2024","3298","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Feb 21 03:01:05 UTC 2024","Wed Feb 21 03:01:15 UTC 2024","9853","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Feb 21 04:03:41 UTC 2024","Wed Feb 21 04:03:51 UTC 2024","10431","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Feb 21 04:38:23 UTC 2024","Wed Feb 21 04:39:05 UTC 2024","41349","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Feb 21 02:38:16 UTC 2024","Wed Feb 21 02:38:17 UTC 2024","275","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Feb 21 02:29:35 UTC 2024","Wed Feb 21 02:29:35 UTC 2024","26","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Feb 21 04:39:05 UTC 2024","Wed Feb 21 04:40:04 UTC 2024","59342","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Feb 21 04:03:07 UTC 2024","Wed Feb 21 04:03:11 UTC 2024","4137","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Feb 21 02:31:03 UTC 2024","Wed Feb 21 02:31:29 UTC 2024","26040","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Feb 21 03:30:08 UTC 2024","Wed Feb 21 03:30:21 UTC 2024","12984","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Feb 21 04:00:46 UTC 2024","Wed Feb 21 04:01:28 UTC 2024","41922","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Feb 21 04:20:41 UTC 2024","Wed Feb 21 04:20:55 UTC 2024","13972","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Feb 21 04:35:32 UTC 2024","Wed Feb 21 04:35:46 UTC 2024","13604","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Feb 21 04:36:26 UTC 2024","Wed Feb 21 04:36:29 UTC 2024","3484","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Feb 21 03:33:39 UTC 2024","Wed Feb 21 03:33:40 UTC 2024","212","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Feb 21 02:40:20 UTC 2024","Wed Feb 21 02:40:27 UTC 2024","6768","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Feb 21 03:33:20 UTC 2024","Wed Feb 21 03:33:36 UTC 2024","15792","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Feb 21 04:03:17 UTC 2024","Wed Feb 21 04:03:20 UTC 2024","3475","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Feb 21 03:01:31 UTC 2024","Wed Feb 21 03:01:51 UTC 2024","20111","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Feb 21 04:12:00 UTC 2024","Wed Feb 21 04:12:30 UTC 2024","29725","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Feb 21 02:40:50 UTC 2024","Wed Feb 21 02:40:59 UTC 2024","8066","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Feb 21 04:21:04 UTC 2024","Wed Feb 21 04:21:07 UTC 2024","2375","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Feb 21 02:40:04 UTC 2024","Wed Feb 21 02:40:20 UTC 2024","16042","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Feb 21 04:36:00 UTC 2024","Wed Feb 21 04:36:26 UTC 2024","25526","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Feb 21 03:03:57 UTC 2024","Wed Feb 21 03:04:07 UTC 2024","10222","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Feb 21 02:36:28 UTC 2024","Wed Feb 21 02:36:48 UTC 2024","19358","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Feb 21 03:04:20 UTC 2024","Wed Feb 21 03:04:23 UTC 2024","3252","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Feb 21 03:35:47 UTC 2024","Wed Feb 21 03:35:49 UTC 2024","1469","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Feb 21 03:30:59 UTC 2024","Wed Feb 21 03:31:01 UTC 2024","2402","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Feb 21 02:54:38 UTC 2024","Wed Feb 21 02:54:46 UTC 2024","7794","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Feb 21 02:57:49 UTC 2024","Wed Feb 21 02:58:44 UTC 2024","54302","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Feb 21 04:36:58 UTC 2024","Wed Feb 21 04:37:00 UTC 2024","1932","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Feb 21 04:35:55 UTC 2024","Wed Feb 21 04:36:00 UTC 2024","4857","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Feb 21 02:42:08 UTC 2024","Wed Feb 21 02:42:22 UTC 2024","13270","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Feb 21 04:03:20 UTC 2024","Wed Feb 21 04:03:23 UTC 2024","2462","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Feb 21 02:54:24 UTC 2024","Wed Feb 21 02:54:38 UTC 2024","13892","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Feb 21 02:32:54 UTC 2024","Wed Feb 21 02:33:00 UTC 2024","6208","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Feb 21 03:09:01 UTC 2024","Wed Feb 21 03:09:16 UTC 2024","15551","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Feb 21 04:23:26 UTC 2024","Wed Feb 21 04:23:27 UTC 2024","962","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Feb 21 03:57:15 UTC 2024","Wed Feb 21 03:57:18 UTC 2024","2762","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Feb 21 04:03:26 UTC 2024","Wed Feb 21 04:03:41 UTC 2024","15173","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed Feb 21 03:01:51 UTC 2024","Wed Feb 21 03:01:55 UTC 2024","3481","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Feb 21 04:06:46 UTC 2024","Wed Feb 21 04:07:28 UTC 2024","42077","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
